id,fecha,tipo,descripcion,estudiante_id
3692,2024-09-06,Positiva,"Excelente aporte en el taller de ciencias, ayudando a integrar a compañeros nuevos.",9074
3693,2024-10-09,Positiva,Representación sobresaliente de la institución en las Olimpiadas de Matemáticas.,9074
3694,2024-03-01,Grave,Escribir grafitis en el mobiliario escolar dentro del aula de clases.,9271
3695,2024-03-11,Grave,Agresión física menor en el patio durante el horario de salida.,9271
3696,2024-09-20,Leve,Conversación reiterativa e interrupción durante la explicación del docente.,9271
3697,2024-11-07,Grave,Falta de respeto verbal a un compañero de aula durante las horas de recreo.,8950
3698,2024-03-19,Grave,Agresión física menor en el patio durante el horario de salida.,9141
3699,2024-06-10,Grave,Agresión física menor en el patio durante el horario de salida.,9141
3700,2024-03-18,Positiva,Representación sobresaliente de la institución en las Olimpiadas de Matemáticas.,9128
3701,2024-04-09,Grave,Retiro del aula de clases sin autorización previa del docente a cargo.,9128
3702,2024-04-15,Grave,Falta de respeto verbal a un compañero de aula durante las horas de recreo.,9137
3703,2024-03-15,Grave,Retiro del aula de clases sin autorización previa del docente a cargo.,9137
3704,2024-03-04,Positiva,Representación sobresaliente de la institución en las Olimpiadas de Matemáticas.,9069
3705,2024-04-23,Leve,Conversación reiterativa e interrupción durante la explicación del docente.,9069
3706,2024-09-25,Positiva,Representación sobresaliente de la institución en las Olimpiadas de Matemáticas.,9069
3707,2024-06-06,Grave,Agresión física menor en el patio durante el horario de salida.,9013
3708,2024-03-05,Positiva,Apoyo solidario voluntario en el mantenimiento de las áreas verdes del colegio.,9013
3709,2024-08-05,Grave,Falta de respeto verbal a un compañero de aula durante las horas de recreo.,9270
3710,2024-10-01,Positiva,Representación sobresaliente de la institución en las Olimpiadas de Matemáticas.,9178
3711,2024-04-08,Leve,Uso indebido de celular dentro del aula de clases a pesar de advertencia previa.,9025
3712,2024-04-09,Grave,Falta de respeto verbal a un compañero de aula durante las horas de recreo.,9025
3713,2024-06-25,Leve,Llegada tardía al aula tras el toque de timbre del receso escolar.,8987
3714,2024-10-21,Leve,Conversación reiterativa e interrupción durante la explicación del docente.,8987
3715,2024-07-02,Leve,Incumplimiento de la entrega de tareas asignadas en dos sesiones consecutivas.,9066
3716,2024-06-17,Grave,Falta de respeto verbal a un compañero de aula durante las horas de recreo.,9062
3717,2024-09-23,Grave,Falta de respeto verbal a un compañero de aula durante las horas de recreo.,9062
3718,2024-09-12,Leve,Conversación reiterativa e interrupción durante la explicación del docente.,9062
3719,2024-05-20,Leve,Llegada tardía al aula tras el toque de timbre del receso escolar.,9096
3720,2024-10-14,Grave,Falta de respeto verbal a un compañero de aula durante las horas de recreo.,9000
3721,2024-05-27,Grave,Falta de respeto verbal a un compañero de aula durante las horas de recreo.,9000
3722,2024-03-12,Grave,Falta de respeto verbal a un compañero de aula durante las horas de recreo.,8957
3723,2024-09-02,Grave,Escribir grafitis en el mobiliario escolar dentro del aula de clases.,8957
3724,2024-04-25,Positiva,"Excelente aporte en el taller de ciencias, ayudando a integrar a compañeros nuevos.",8957
3725,2024-08-12,Grave,Escribir grafitis en el mobiliario escolar dentro del aula de clases.,8948
3726,2024-11-11,Positiva,Apoyo solidario voluntario en el mantenimiento de las áreas verdes del colegio.,9064
3727,2024-04-16,Positiva,Mostró liderazgo positivo ordenando el aula de cómputo tras finalizar la sesión.,9064
